"year","region","rate","pop"
2018,"Sub-Saharan Africa",43.7377899424593,1109997000
2019,"East Asia & Pacific",2.30847967469153,2359854197
2019,"Europe & Central Asia",0.936823538664133,922218554
2019,"Latin America & Caribbean",6.17484531823656,640962372
2019,"Middle East, North Africa, Afghanistan & Pakistan",11.6730071284878,742714463
2019,"North America",0.938477793556838,367908829
2019,"South Asia",8.12109355723126,1605412986
2019,"Sub-Saharan Africa",43.6957982627866,1139315618
2020,"East Asia & Pacific",2.39760656380374,2369518318
2020,"Europe & Central Asia",0.953919041753215,923973838
2020,"Latin America & Caribbean",5.85584163348102,645497651
2020,"Middle East, North Africa, Afghanistan & Pakistan",12.6230372410634,756405281
2020,"North America",0.369070583243889,369670740
2020,"South Asia",9.15073371800285,1621073417
2020,"Sub-Saharan Africa",45.7915241439183,1169015451
2021,"East Asia & Pacific",2.26415566041922,2375215240
2021,"Europe & Central Asia",0.864785360899266,924702975
2021,"Latin America & Caribbean",6.26305746926789,649234493
2021,"Middle East, North Africa, Afghanistan & Pakistan",13.4624232425071,767578451
2021,"North America",0.289625566953504,370404272
2021,"South Asia",7.80765690881317,1634785356
2021,"Sub-Saharan Africa",46.0916368188582,1199011925
2022,"East Asia & Pacific",2.08509711971946,2379882029
2022,"Europe & Central Asia",0.77178529459112,925061269
2022,"Latin America & Caribbean",5.05873873723435,653104795
